Order ID,Order Date,Customer Name,Gender,Age,City,State,Region,Product,Category,Quantity,Unit Price,Discount %,Sales,Cost,Profit,Salesperson,Payment Mode,Customer Type,Rating
100001,2025-06-30 0:00:00,Vivaan Das,Female,46,Pune,Maharashtra,West,Printer,Electronics,1,9156.96,25,6867.72,5462.76,1404.96,Neha Sharma,Credit Card,Returning,1
100002,2025-08-26 0:00:00,Priya Singh,Female,65,Chennai,Tamil Nadu,South,Phone,Electronics,6,32126.46,10,173482.88,138825.01,34657.87,Ravi Kumar,Credit Card,Returning,3
100003,2025-04-12 0:00:00,Suresh Kumar,Male,48,Kolkata,West Bengal,East,Keyboard,Electronics,4,1619.67,25,4859.01,3588.12,1270.89,Neha Sharma,Debit Card,New,3
100004,2025-01-04 0:00:00,John Kumar,Male,51,Delhi,Delhi,North,Laptop,Electronics,1,59734.18,25,44800.64,32092.71,12707.93,Kiran Patel,UPI,New,3
100005,2024-11-25 0:00:00,Vivaan Sharma,Female,41,Pune,Maharashtra,West,Desk,Furniture,7,13022.17,25,68366.39,47816.49,20549.9,Kiran Patel,Cash,New,2
100006,2024-01-15 0:00:00,Arjun Kumar,Female,42,Bengaluru,Karnataka,South,Phone,Electronics,1,27468.59,15,23348.3,18256.83,5091.47,Ravi Kumar,Credit Card,Returning,5
100007,2024-04-13 0:00:00,Kiran Reddy,Male,39,Kolkata,West Bengal,East,Tablet,Electronics,4,22058.49,25,66175.47,54577.88,11597.59,Amit Singh,Cash,Returning,4
100008,2025-04-09 0:00:00,Suresh Sharma,Female,35,Chennai,Tamil Nadu,South,Phone,Electronics,1,31055.71,25,23291.78,18674.01,4617.77,Neha Sharma,Credit Card,New,1
100009,2025-06-30 0:00:00,Meera Patel,Male,44,Mumbai,Maharashtra,West,Mouse,Electronics,1,820.75,10,738.68,552.64,186.04,Ravi Kumar,UPI,Returning,5
100010,2025-06-17 0:00:00,Suresh Reddy,Female,30,Mumbai,Maharashtra,West,Mouse,Electronics,1,771.1,25,578.33,419.13,159.2,Amit Singh,Debit Card,New,4
100011,2025-05-17 0:00:00,Kiran Patel,Male,25,Pune,Maharashtra,West,Desk,Furniture,8,10889.05,0,87112.4,64231.81,22880.59,Kiran Patel,Debit Card,New,1
100012,2024-04-12 0:00:00,Pooja Singh,Male,61,Chennai,Tamil Nadu,South,Chair,Furniture,6,6154.4,20,29541.12,23608.79,5932.33,Priya Rao,UPI,New,3
100013,2024-03-08 0:00:00,Sarah Singh,Male,18,Chennai,Tamil Nadu,South,Keyboard,Electronics,4,1544.5,20,4942.4,4204.99,737.41,Rahul Verma,UPI,Returning,3
100014,2024-03-05 0:00:00,Kiran Kumar,Female,58,Hyderabad,Telangana,South,Desk,Furniture,4,12113.22,25,36339.66,31735.94,4603.72,Amit Singh,Net Banking,New,5
100015,2024-07-08 0:00:00,Kiran Kumar,Male,56,Kolkata,West Bengal,East,Printer,Electronics,7,8614.47,25,45225.97,33209.81,12016.16,Priya Rao,Net Banking,New,1
100016,2024-12-01 0:00:00,Meera Sharma,Female,40,Hyderabad,Telangana,South,Phone,Electronics,8,29986.52,15,203908.34,150091.84,53816.5,Amit Singh,Net Banking,Returning,2
100017,2025-08-23 0:00:00,Neha Patel,Male,28,Kolkata,West Bengal,East,Tablet,Electronics,3,22921.28,5,65325.65,53526.54,11799.11,Amit Singh,Debit Card,New,1
100018,2025-06-25 0:00:00,Ravi Sharma,Female,56,Chennai,Tamil Nadu,South,Headphones,Electronics,8,2304.34,5,17512.98,13032.15,4480.83,Ravi Kumar,Net Banking,Returning,1
100019,2024-12-13 0:00:00,John Reddy,Female,35,Bengaluru,Karnataka,South,Chair,Furniture,5,6097.31,20,24389.24,16943.72,7445.52,Ravi Kumar,Net Banking,New,4
100020,2024-12-14 0:00:00,Arjun Das,Female,27,Visakhapatnam,Andhra Pradesh,South,Laptop,Electronics,1,55581.35,25,41686.01,32997.96,8688.05,Priya Rao,Debit Card,New,4
100021,2025-04-05 0:00:00,John Reddy,Male,28,Mumbai,Maharashtra,West,Keyboard,Electronics,6,1626.84,10,8784.94,7164.59,1620.35,Rahul Verma,Credit Card,New,4
100022,2025-05-05 0:00:00,Aarav Das,Male,28,Hyderabad,Telangana,South,Monitor,Electronics,8,10901.6,5,82852.16,59327.61,23524.55,Neha Sharma,Debit Card,Returning,5
100023,2025-01-01 0:00:00,Pooja Sharma,Male,28,Kolkata,West Bengal,East,Chair,Furniture,7,6577.25,10,41436.68,37072.08,4364.6,Kiran Patel,Net Banking,New,5
100024,2024-09-01 0:00:00,Rohan Reddy,Male,35,Chennai,Tamil Nadu,South,Phone,Electronics,4,31380.23,20,100416.74,71810.81,28605.93,Neha Sharma,Cash,New,1
100025,2025-09-18 0:00:00,Pooja Reddy,Female,51,Hyderabad,Telangana,South,Desk,Furniture,8,11720.91,5,89078.92,78077.11,11001.81,Rahul Verma,Net Banking,New,4
100026,2024-09-18 0:00:00,Vivaan Patel,Female,51,Mumbai,Maharashtra,West,Tablet,Electronics,4,21659.25,15,73641.45,58494.38,15147.07,Neha Sharma,UPI,Returning,1
100027,2025-06-25 0:00:00,Lakshmi Singh,Female,31,Kolkata,West Bengal,East,Mouse,Electronics,4,738.05,10,2656.98,1945.49,711.49,Priya Rao,Credit Card,Returning,5
100028,2025-04-24 0:00:00,Suresh Sharma,Female,29,Pune,Maharashtra,West,Tablet,Electronics,2,21723.37,0,43446.74,32906.82,10539.92,Kiran Patel,Debit Card,Returning,4
100029,2024-06-14 0:00:00,Aditya Singh,Male,20,Chennai,Tamil Nadu,South,Tablet,Electronics,6,21675.52,5,123550.46,83493.56,40056.9,Kiran Patel,UPI,Returning,3
100030,2024-11-14 0:00:00,Neha Kumar,Female,46,Visakhapatnam,Andhra Pradesh,South,Headphones,Electronics,5,2362.23,25,8858.36,6599.66,2258.7,Neha Sharma,Debit Card,Returning,4
100031,2025-03-03 0:00:00,Ravi Das,Female,42,Kolkata,West Bengal,East,Keyboard,Electronics,7,1612.73,15,9595.74,8202.62,1393.12,Ravi Kumar,Debit Card,Returning,5
100032,2024-09-10 0:00:00,Arjun Singh,Female,44,Chennai,Tamil Nadu,South,Laptop,Electronics,1,53474.45,25,40105.84,29353.13,10752.71,Rahul Verma,Debit Card,New,2
100033,2024-10-30 0:00:00,Amit Reddy,Male,64,Mumbai,Maharashtra,West,Laptop,Electronics,8,50557.09,15,343788.21,237950.44,105837.77,Rahul Verma,UPI,Returning,2
100034,2025-05-29 0:00:00,Priya Kumar,Male,42,Hyderabad,Telangana,South,Headphones,Electronics,7,2267.07,0,15869.49,10962.21,4907.28,Rahul Verma,UPI,New,4
100035,2024-11-20 0:00:00,Ananya Sharma,Female,34,Bengaluru,Karnataka,South,Chair,Furniture,1,6093.78,25,4570.34,3670.69,899.65,Rahul Verma,Net Banking,New,3
100036,2024-02-09 0:00:00,Ravi Patel,Male,38,Mumbai,Maharashtra,West,Phone,Electronics,6,28690.99,10,154931.35,134401.99,20529.36,Amit Singh,Cash,New,1
100037,2025-07-25 0:00:00,Arjun Sharma,Male,21,Pune,Maharashtra,West,Desk,Furniture,3,11092.75,5,31614.34,26243.36,5370.98,Amit Singh,UPI,New,1
100038,2024-03-15 0:00:00,Kiran Reddy,Male,31,Chennai,Tamil Nadu,South,Monitor,Electronics,4,11142.74,5,42342.41,32622.84,9719.57,Rahul Verma,Credit Card,Returning,3
100039,2025-12-21 0:00:00,Rahul Patel,Male,19,Bengaluru,Karnataka,South,Laptop,Electronics,6,51175.26,5,291698.98,261918.01,29780.97,Amit Singh,Net Banking,New,5
100040,2024-07-24 0:00:00,Neha Reddy,Male,28,Delhi,Delhi,North,Tablet,Electronics,1,22601.58,20,18081.26,14794,3287.26,Neha Sharma,Credit Card,Returning,3
100041,2024-01-30 0:00:00,Amit Patel,Male,46,Pune,Maharashtra,West,Mouse,Electronics,6,806.19,10,4353.43,3665.67,687.76,Amit Singh,Net Banking,New,3
100042,2024-08-24 0:00:00,Priya Singh,Female,57,Mumbai,Maharashtra,West,Tablet,Electronics,5,22811.84,5,108356.24,95710.56,12645.68,Neha Sharma,Net Banking,New,1
100043,2025-12-15 0:00:00,Rahul Patel,Female,57,Bengaluru,Karnataka,South,Chair,Furniture,5,6282.81,10,28272.65,22475.9,5796.75,Rahul Verma,Credit Card,Returning,3
100044,2025-02-26 0:00:00,Vivaan Singh,Female,54,Pune,Maharashtra,West,Mouse,Electronics,7,732.43,5,4870.66,4268.41,602.25,Kiran Patel,UPI,Returning,5
100045,2024-10-07 0:00:00,Rahul Reddy,Female,42,Delhi,Delhi,North,Phone,Electronics,6,30550.39,20,146641.87,129627.91,17013.96,Neha Sharma,Credit Card,New,2
100046,2025-11-29 0:00:00,Suresh Singh,Male,58,Mumbai,Maharashtra,West,Monitor,Electronics,5,12509.44,15,53165.12,34766.49,18398.63,Ravi Kumar,Credit Card,Returning,5
100047,2025-08-18 0:00:00,Aarav Patel,Male,38,Hyderabad,Telangana,South,Chair,Furniture,4,5504.38,10,19815.77,16159.42,3656.35,Rahul Verma,Net Banking,Returning,4
100048,2024-08-05 0:00:00,Kiran Sharma,Male,22,Chennai,Tamil Nadu,South,Headphones,Electronics,5,2704.78,25,10142.93,7900.17,2242.76,Neha Sharma,Cash,Returning,2
100049,2025-12-07 0:00:00,David Sharma,Male,64,Bengaluru,Karnataka,South,Keyboard,Electronics,7,1485.45,20,8318.52,6477.84,1840.68,Neha Sharma,Cash,New,4
100050,2025-11-10 0:00:00,John Kumar,Male,64,Chennai,Tamil Nadu,South,Mouse,Electronics,2,808.31,25,1212.46,930.92,281.54,Rahul Verma,UPI,New,3
100051,2024-04-28 0:00:00,John Singh,Female,27,Hyderabad,Telangana,South,Mouse,Electronics,3,771.47,15,1967.25,1309.59,657.66,Ravi Kumar,Net Banking,Returning,1
100052,2024-10-15 0:00:00,Suresh Das,Male,18,Pune,Maharashtra,West,Phone,Electronics,1,27671.41,15,23520.7,16323.44,7197.26,Neha Sharma,Debit Card,New,4
100053,2025-12-06 0:00:00,Neha Das,Male,64,Delhi,Delhi,North,Desk,Furniture,6,12291.94,0,73751.64,59540.83,14210.81,Kiran Patel,Cash,Returning,2
100054,2024-10-22 0:00:00,Aarav Reddy,Female,21,Hyderabad,Telangana,South,Keyboard,Electronics,1,1608.47,25,1206.35,913.76,292.59,Rahul Verma,Credit Card,New,4
100055,2025-03-18 0:00:00,John Sharma,Male,62,Bengaluru,Karnataka,South,Chair,Furniture,2,5811.31,15,9879.23,7654.92,2224.31,Priya Rao,Net Banking,New,4
100056,2025-02-22 0:00:00,Vivaan Reddy,Female,52,Kolkata,West Bengal,East,Chair,Furniture,1,6049.68,5,5747.2,3741.03,2006.17,Neha Sharma,UPI,Returning,3
100057,2024-01-19 0:00:00,Ananya Singh,Female,21,Delhi,Delhi,North,Keyboard,Electronics,2,1352.53,20,2164.05,1837.2,326.85,Ravi Kumar,Debit Card,New,2
100058,2025-08-13 0:00:00,Amit Sharma,Male,42,Visakhapatnam,Andhra Pradesh,South,Mouse,Electronics,3,743.68,5,2119.49,1676.5,442.99,Ravi Kumar,Credit Card,Returning,3
100059,2024-05-21 0:00:00,Suresh Kumar,Male,54,Delhi,Delhi,North,Monitor,Electronics,2,11956.52,25,17934.78,13325.67,4609.11,Rahul Verma,UPI,New,4
100060,2024-09-19 0:00:00,Kiran Sharma,Female,52,Visakhapatnam,Andhra Pradesh,South,Chair,Furniture,5,5590.93,25,20965.99,16399.12,4566.87,Kiran Patel,UPI,Returning,3
100061,2025-02-04 0:00:00,Aditya Das,Female,42,Pune,Maharashtra,West,Desk,Furniture,2,12347.58,10,22225.64,18581.89,3643.75,Priya Rao,Net Banking,Returning,2
